,ID,Tweet,Sentiment
208683,1973784385,@MattStockdale not so great if you are an evertonian ,0
381421,2052780806,"@TheMegatronDon I'd tell you, but only if u let me in th stream ",0
176066,1965215143,"@Brandystrippers OI, are you mocking the fact I dont cry at tv things?!  *Feels bad*xxx",0
242889,1981417059,Working on some car reviews.... phone reviews tomorrow! Just too little time today ,0
475862,2177721740,"@cheetz two of my trusted sites conflicted each other, one said good, the other said just so and so ",0
313240,2001707698,@vitamindw  I called it earlier.Knew it was coming.,0
311452,2001307445,Cant stop thinking about my exams ,0
118655,1827882255,I'm out of my drink ,0
641895,2235353248,@tnsSG study &amp; play at the same time? Me go see customer ,0
381988,2052896631,dad's had an idea that becaue it's tipping it down there will be no one at warwick castle. so we're off there for the day . HELP ,0
693680,2252796061,@rhys_isterix thank you for the fry up but still feeling very green  x,0
342252,2015220010,IS thinking hell yes my last exam today shame im gonna fail ,0
213944,1975118578,@PaulineK How fantastic for you both! Are you loving Paris? Any trips to Chartres yet? Friends leave Sunday for 3 weeks in Paris  Sad.,0
417762,2061611554,@JustCindy_  Ooow  when is the funural ?,0
72685,1694304500,is at dancing waiting to start. Thou can't stop thinking about all the uni work I have left to do ,0
521538,2192447145,"doesn't approve of mother natures weather choice, should make a good nap later though, if I can get in my room ",0
676378,2248383197,wants to start BAWLIN cuz @4everbrandy is gonna b in NYC &amp; i'm flippin broke ... excuse me while I be xtremely upset ,0
405029,2058568761,@rsmith86 I want veggie cupcakes. ,0
442483,2067293556,"Watching rosalinda in youtube, this breaks my heart even if I barely understand it. Poor guy.  http://bit.ly/AQFDa",0
600093,2220825561,Depressing when you look at a site that ranks number 1 for a term and it's backlinks are absolutely shocking. Just not right! ,0
754948,2288165245,Oh my gosh this is SO sad ,0
58555,1685928266,http://twitpic.com/4h00n - My best friend's last day in the US ,0
542225,2200360608,My mom just called me a brat!   ,0
741959,2266414456,@disappointment In Second Life. They banned me from their sex beach. ,0
561257,2205380819,@glitteresque cannot see T__T only preview ,0
218513,1976187264,@absolutelytrue back to secondary school and actually make an effort ,0
681561,2249766983,"@yohanik yes, i'm clueless too.   who is bal thackeray? (ducking shoes)",0
761192,2297147437,"@phuckpolitics, damn right. Isn't today the 1 year anniv. of Carlin's death? ",0
558214,2204695599,"@mistresspolly Terminator gets pretty good... the last season ended on a cliff hanger, so I'm annoyed they cancelled it ",0
493253,2184547327,"@mandism I'm so sorry your tour was cancelled! I feel horrible that I am lucky enough to go to so many shows, and y'all cant even get one ",0
606882,2222753459,is having second thoughts....... ,0
186310,1968292428,@alwayskatharine  It works for me... Maybe it's just you? [I mean that in a caring way.],0
139209,1880751948,"thanks @yorkshirecoast, however the problem is with my xml template apparently - there is no code to display the date on my blog posts! ",0
145085,1882126383,Off to go train....I have a tummy ache ,0
74200,1694743072,"I haz a wet spot on my bed. But not a warm yummy one, this one is cold  stupid leaking water.",0
226050,1977768627,yum I really want Oporto now ,0
465761,2175415642,I am no longer Lost   I hope I can be found,0
400472,2057419995,my hearts breaking for those families who lost their child/children in the daycare fire  35 babies gone.. I can't even begin to imagine.,0
450562,2069531029,@piksels @jeffsimons i know... ,0
424575,2063128955,Time has come my old Land Rover hydraulic winch has to go  Ebay calls. Replaced by a Fire service PTO driven one,0
40750,1573865593,still isn't sure how she can love you after this. ,0
406235,2058882768,@MsBourgeoisie no shoes huh? ,0
760707,2296910833,I'm sooo cold. ,0
637969,2234324004,@lilyroseallen wish i was on me way to airport  xx,0
176134,1965253625,"I don't have MTV,@mtschopp. What am I going to DO?!! fmlllll ",0
719659,2260665740,wanting to be a bad patient and not take 2 handfuls of pills tonight  hate hate hate,0
228450,1978262781,"I can't sleep, I should went out ",0
278226,1991478535,Is so not looking to thursday at all. ,0
671841,2246985817,I did not have a successful day  It was cloudy and couldn't lay out ,0
707842,2257120636,@guyoseary you can't imagen how much WE're wating to meet u!!! and if we'd meet.. will you give us an autograf?) M certanly wouldn't  ;),0
100523,1794015019,hates revision....and exercise! Would much rather be sitting around all day watching telly eating cake  xoxo,0
687157,2251202283,"I can't spend another day not leaving the house. Got work at 4, meh ",0
358295,2045194084,@alexcashcash I'm sorry  hope u feel better,0
336884,2014094909,I love being nice and people using me ha get the fuck out or cheer me up ,0
296210,1997063099,@Kavem4n but there is no endurance run this week ,0
470376,2176409321,@Nfan12 Who doesent?! ,0
614630,2225969872,Rain is Shit ,0
615559,2226328817,just cancelled our camping reservation. Lame.  Tho we might set up the tent in the backyard (if it doesnt pour) and make smores anyway.,0
78649,1751461525,Feel better che  i love you so much,0
486713,2181694893,someone b my friend?  http//www.facebook.com/hrtdlovebrkn,0
349075,2017005948,@ab_p you can share mine. im full of cold too ,0
42555,1676155172,@SimplySneakers cartoon  i want hugh's face!!! hee hee jk,0
414350,2060803323,It's almost over ,0
585280,2215567112,"@psionics I hope she doesn't get too skinny.  But yeah! Yowza!! It was a good episode.I hope they deal some of the problems I have, tho.",0
43136,1676394437,bn is NOT playing bam tmr ,0
786494,2324673245,@FASHIONISMYLIFE lol you dont cook for me  so im forced to eat chips forbreakfast,0
286269,1993858286,painting my nails. I hope not destroy it..... ,0
287996,1994411161,@devon_leigh Worse??  Do u have meds?,0
549668,2202706608,#thailand oh how i hate to be saying this but the beer at twang dang ramindra has gone downhill ,0
230799,1978819077,@kevinrose  But the Giants lost.  ,0
312051,2001435010,@LauraTrib will do my best - but I think the forecast says your cloud is heading this way. ,0
421373,2062405788,Is working on a sunday ,0
215143,1975399315,Starved and waiting for the game to start. I hope I don't throw up ,0
616754,2226788737,Am slacking at work.  Need to get motivated to get something constructive done around the office.,0
106702,1823650465,had an awesome night last night. however this morning wasnt too great ,0
784960,2324305798,@thereshegoes ohhhhh.  it's always so annoying,0
51310,1678900348,hurt her ankle. ,0
794075,2326847555,Where do I file my white whine? My smartphone is being stupid ,0
678673,2249033908,It's the middle of June and I'm sick... ,0
192789,1969928635,pff...  i cant check my caracter pff.... stupid network,0
230002,1978633275,The sea around Britain leaves a little to be desired re. water quality. For the second time in a month had stomach upset after a swim ,0
298230,1997619731,@PourinOutSwaver I don't think ima be able to make it now  I gotta work and I don't have no money lol,0
26166,1558638635,bummed that I missed the UFC fight last night ,0
505884,2188507865,"Just had some cake, really good, i know its late, ugh determined to finish my project by midnight, I highly doubt it though! ",0
293825,1996427808,@ctrleverything damn you! Now I'm missing Thai Chili lunch time soup ,0
119873,1832135793,Rain sucks! My poor car is filthy and I can't wash it! ,0
492963,2184451589,Another week starts and it's an incredibly dull and lazy day ,0
798595,2328613746,@jenniferawhite so sad this was cancelled ,0
510198,2189593825,@kkmariejb23 awww i sorry you can't find them that sucks ,0
447637,2068758283,@SamanthaMc_x hehe yeah ive never been in scotland and i'm going to be in glasgow alone for the 1st time.. thats fun *not* ,0
279647,1991845991,"@MartinBrandt I know, I know ",0
550851,2203017035,rach is takin the computer from me. ,0
527916,2194836139,i really feel sick... blah ,0
289269,1994944157,"@happylovesChuck Sadly, yes  It's ending now",0
689795,2251851229,is stressed out... Waiting to see how many deaths we will burry today ,0
477903,2178363897,"My god, I've missed this job. Samurai Shodown hands on is on hold, unfortunately ",0
704532,2256074180,@iphonegirl That's a nightmate ,0
390165,2054617065,Why does my son's coach always schedule a practice on Saturday? I'm supposed to be at the gym. ,0
486373,2181514349,Another Beautiful day!! Loving the Sunshine! Medical stuff tomorrow  not so happy about that...,0
438929,2066303386,doesn't anybody wanna fly to cologne ? no traffic there atm ,0
631434,2232328199,Twitter Noob Lonely ,0
386731,2053853829,may have broke the sewing machine ,0
203229,1972310935,drinking my coffee. it is worth it to wait a day for my book to come in? probably ,0
563044,2205815156,Why does my house have no batteries anywhere inside it? Why won't my mum pick up her phone? I want to play Lego Batman ,0
625204,2230161664,"Ouch. Seriously, I knew it was coming and didn't expect it to hurt, but it hurt....a whole fucking lot. ",0
87956,1754674637,Did you not mean to me? oh......... ,0
365135,2048445161,"Just finished off, on the way home now ",0
613711,2225553094,@Belinduhh I'm @ school. Fucken boredddd in this annoying Math class ,0
669061,2246134734,@GDGOfficial sooo NOT fair..I've been at work for the past 10 hrs!!  ,0
2541,1468397037,@nmcgivney yeah ploughed around there last night.. .but nothing happening ,0
732172,2264006793,@itsdemo yea.. i no ..but still   kutner was awesome !,0
575304,2210987332,"Also, I lost my awesome bridge keychain sometime today. ",0
416062,2061215234,@GORGEOUS_DEV lols ur hunniie...we just met. Nd don't put the sad face...it makes me feel bad  only I could do dat lols,0
307219,2000421757,Actually teary from how much positive feedback happened today. Guys  Someone wishes I were their sister. All classes should end like this.,0
641096,2235155452, anyone know if Ghostbusters is region free on 360?? and where to get a US copy in Britain if it is,0
124866,1834201423,Ooohh E! News. The headlines look shit but there's nothing else on ,0
151234,1932461021,is working nights this week. ,0
163190,1957724787,agh! freaking out about going to Wales already! &gt;&lt; not packed!! ,0
777446,2322424767,Wow.. I haven't stopped thinking about the Jonas Brothers or Taylor Lautner since Sunday.. Their amazingness is driving me crazy ,0
574409,2210416457,@Soomka  Not here Friday... Need to find some other time to watch the destruction of one of my favorite franchises...,0
459200,2072117109,The Magic couldn't hang with the Lakers tonight     Hope they make a series out of it - at least 6 games,0
62296,1687043088,"@Ottimisvico Nuts!!  ...and unfortunately, it's usually too hard to hide because of the smell   Ah well, there's always chocolate ",0
50090,1678364274,@whisperygenie I know  I'm on disc 4 of the X Files already...it's not as bad as I initially thought it would be.,0
29381,1563465173,@samueltwitt1 what about australia?  we'd love for you to come here!,0
151916,1932622533,my sister or brother didn't call me today to see how i was doing after my surgery. ,0
722525,2261510886,no one is following me  *sad*,0
539897,2199572160,I'm cooking ,0
430338,2064311369,"@TraceCyrus YES, come to Baguio  That would be more than amazzzzing.",0
519177,2191730069,"I really should be doing classwork/homework, but I just don't feel like it today! So I don't think I will! ",0
142640,1881528665,"@pprlisa Oh right, no show tonight for you.  Have an awesome time in Vegas! Do some November scouting, okay?",0
684720,2250593674,"gotta be proactive now- visit opticians at 9, then hunt for father's day prezzie with mum. Already had 2 busy days, what's one more? ",0
418782,2061842837,out of peach schnapps  ,0
568027,2207386391,@buonaluce @IlanBr @DanaLanePhoto my LR2 uses a newer version of ACR not compatible with CS3 as well  not optimal.,0
381032,2052695047,Twinkle now allows u to connect to facebook ! Sad Weather in Paris ,0
778320,2322651663,"I just whitnessed the most disturbing thing ever with @shanaynerz. EWW it was so bad, we almost started crying. O_o So fuckin' nasty!! ",0
154181,1933113255,My anti-nicotine resolve is wavering slightly ,0
567529,2207213811,I would want to be with you ,0
524349,2193452069,"@heich_dee Man,I miss that kind of coldness.No oily face!Lol.N my body clock had to adapt to sch time. When I'm awake,hes aslp.vice versa ",0
112881,1825605109,listening to my 2yo sing What What In The Butt... NOT GOOD! Guess I should pay more attention to what I say ,0
263683,1986618354,Still at home and sick   Should I go to work? Have to ,0
53667,1680696440,scared of the swine flu. ,0
17678,1556360326,"im very tired, heading to the bed now. alone... ",0
410659,2059928422,"Well, that was interesting. I'm gonna try to find something to do tonight... at home... by myself... ",0
87740,1754589624,meeting up with dear to go changi airport... flying off again....   haiz...,0
138926,1880680369,"talking to the coolest person alive, debs =] im in spanish ",0
244339,1981747683,"@barbiegirl4445 I can't, I have to wait another 24hrs ",0
531235,2196250311,Sirens are going off ,0
151338,1932484602,ust got back from the baseball game! The seats were amazing....the game not so much....unfortunately ,0
521851,2192547393,"had to come home  blood sugar was loww, how crap.",0
380426,2052559604,"may be the weekend, but work tomorrow ",0
149866,1883559913,@ieatsnowmanpoop cuz this is just my practicum. A 2.5 month placement as part of my graduating requirement... ,0
230997,1978866590,@OahuAJ lol yes we did. Though I'm quite intrigued about the shrimp by the sugar mill. Sadly we did not have a lot of time today ,0
459707,2072241738,@shirley_puspita aduh really bad day. Nanti kita ceting2 ya kalo miss uda pulang hehe. Kesel nih miss ,0
617433,2227063450,"Well, it's MEGA hot out, I just found out I have to teach class tomorrow, AND the boss wants me to rush my TEM work.... goodbye weekend ",0
44544,1676893132,"@Mark_Braunstein listened to the blue grass  version, I love pink floyd, like blue grass did not like it at all ",0
302044,1998850582,"Watching planet earth with atisha, josh, jake, zoey and emma hollly shit a baby thing just got eated ",0
548621,2202417082,@a94mae you really wont say anything?  that hurts. i think i might cry tonight *tear*,0
463200,2174866660,My dad forgot to unlock my phone... Again. Damnit. ,0
32238,1564204337,@jon_bedford Sods Law. I am Day 41 into my 100-day cough ,0
532284,2196688403,@KatBautista whatta bout brother? ,0
26520,1558786451,"Cuddy bashing gets on my nerves, argh!  Also, I need to shower but I can't be bothered moving.  And I want someone to talk to. ",0
54537,1681136242,working on a saturday sucks  wish i could take a nap,0
245014,1981906234,I really hate going to work this early.. especially when I only get a few hrs of sleep.. ughh my eyes burn ,0
378286,2052078102,"i'll never sleep at 7am again.  but i got Mos Def now, who cares?",0
764799,2299103193,@PauLLdoubleE r u serious i didnt even know u had that up now ima go check if thats true of ur not p.s. ur not my buddy on FB ,0
475615,2177656151,@queenvanna we had frost a week ago.     It's beautiful today tho!  Yay!,0
346798,2016269183,@AlexAllTimeLow so bummed I couldn't come  you're in brisbane so drive up about 17 hours and you'll reach where I live.,0
310104,2001038725,@elecons yum! my pantry is empty ,0
464624,2175169585,I wish I was allowed to have the sleep schedule of a touring musician.  ,0
314195,2001921518,I really really need to get away from all this sort of shit ,0
500659,2186918766,"last night, hate ojive - he made me a little drunk ",0
748348,2284267613,@ddlovato just don't talk. and drink tea honey!! I'm sooo sowwy about ur voice! ,0
552315,2203370426,"@jsusgrl me too, really.I kinda wanna cry sometimes when I see her so lonely, like she needs a friend, aww poor bb! she trusted in NR ",0
290074,1995229779,"somebody pre order me Nothing Personal over at Glamour Kills, please?  i'll love you forever.",0
1939,1468267411,@msJodiOdie its such a sad situation. Though 1-in-3 of us will be beaten. In US every 15 seconds &amp; 3 killed a day. It's sadly commonplace ,0
642492,2235515219,"@jearle mmm, I looked up Paul Erdos on wikipedia but it's not clicking with me ",0
351988,2018970537,American eagle didn't have my size ,0
81118,1752592360,Alcohol has warn off..my foot is majorly effed up.. ,0
485260,2181074035,@alexiskn yeah I just found out.  Why a father would actually kill is children is beyond me ,0
102905,1795306356,"@kashiichan It just really bugs me because that's not how I am! Or rather, used to be lately. :/ But I was more miserable while medicated ",0
387216,2053960894,i have workshop tomorrow  don't want to wake up early,0
610344,2224101355,@Labanya_x3 aw that sucks ,0
661716,2243308646,"@gwiazda sounds good...I'd love a lie in, but taking hubby to work means its the same old same old every day apart from Sunday ",0
193717,1970134535,i miss colin already ,0
406414,2058924289,Work is going by sooo slowly! ,0
179158,1966191822,I was the blue  lol http://twitpic.com/67zgz,0
239353,1980606322,I miss Lost.  Oh I know what you'll say. &quot;Come on man you've been watching it too much.&quot; I need to know what happens next!,0
303997,1999622117,wanting to talk to him its not fair!!! ,0
485515,2181166776,"grrrr, stupid wrong number call got my hopes up for an interview.  ",0
735808,2264872069,@xxlucyh didnt get to watch masterchef either  cos i went out to dinner. and now i have to massive pd.,0
652238,2238151748,"About to start a webinar, fun times. Listening to there ultra cool piano music  see you all in a while.",0
224582,1977446425,"aggenda: shower, sleep, try not to scratch bug bites ",0
112125,1825344464,@markhoppus what's wrong with ur twitterberry? mine loads too slow  hate it...,0
591832,2217777897,Bouhouuuuuuuuuuu Dangie isn't there... I need my crazy friend ,0
767372,2300448398,wrist hurt  argh!,0
538299,2199044468,i wish i could take a nap  im so tired,0
298283,1997635999,&quot;The chances of finding survivors are tiny.&quot; - Sarko  228 feared dead http://www.nytimes.com/2009/06/02/world/europe/02plane.html RIP,0
679917,2249359815,"@Megan_Purcell Damm, that reminds me I missed out on them on Wednesday night ",0
83103,1753252008,"OK the end was sweet, just predictable  Night Peeps",0
574457,2210424933,"@STHUDGENS  I'm so sorry for you. I don't know, how people could be so cruel.  'Can't believe that some guys are so.. *peep* ;)",0
174245,1964391478,"@g4tv Batman: Arkham Asylum, but I don't own a system that will play it, sadness ",0
134479,1836260752,My husband slept until 5:30 PM yesterday and stayed up all night and morning playing zombie games...let's just say I didn't sleep well ,0
573285,2209777891,"Well, the house sparrows rebuilt the nest we tossed 2 days ago, and now there's an egg in it. Guess we'll wait for the rest to be laid. ",0
744699,2267210145,@daisydelfina argh we fell asleep. We're so lame ,0
308350,2000669042,will probably be startingmy temp job as amortgage loan processor in a week. i am so excited ,0
680938,2249619570,@OfficialAS yes...but i set it always to private and THEN set to public :X hahahaha it's stupid  it was awesome too,0
180316,1966521434,@Lady_Tif69 someone twittered it just now ,0
298618,1997729262,@Nkotbahamas2009 the size was why I didnt get one too! @NKOTB also with the I SURVIVED THE NKOTB CRUIRE Ts ,0
335495,2013808029,@richardyung Oh no I only know Rainy Days and Mondays... ,0
673044,2247367066,should prob sleep but slightly wasdted!! work atv 10anm ,0
310958,2001201232, tea's gone cold,0
314367,2001956560,says i need a taxi asap...  http://plurk.com/p/xuex4,0
628901,2231459767,"@lilymay I so totally agree with this. Problem is, I don't understand property well enough to do ANYTHING else while I'm flashcarding it. ",0
782990,2323804589,@mattg00d i hate it too. I wanna get to see you guys every summer. ,0
780454,2323178504,Working on comics... still feeling sick and very weak. Doctors didn't call me back. ,0
726399,2262565648,Finished watching totoro... It brings back memories.. And now I want my old totoro plush backpack ,0
47671,1677687651,@DestinyMarselle eehh it's okay  @shenzy that's exactly where I was thinking holy mind reader,0
750909,2285853221,Had a YUMMY dinner...grilled chicken salad...mmmmmmmm...unfortunately not as excited about doing the dishes that FANTASTIC dinner created ,0
181862,1966997153,@MzKikiJ Aww...now i'm sad!!! We didn't go b/c the weather channel said it was gonna rain the entire weekend. ,0
690809,2252101577,I keep thinking It's 830 at night.  and i have to put up with a sickening cute couple. Love my life ,0
603569,2221697259,Why are DVD +R DLs sooooooo expensive ,0
366327,2048829381,@Billabonng don't say that ,0
178212,1965913885,@alexxxpatterson we won't be in town  email me if there is another one though.,0
14747,1553833901,@bubbelplast for that confirmation stuff? I think so  but I don't want to. I'm tireddddd!,0
152987,1932861960,Why can't I sleep?  I fall asleep sitting up but as soon as I lay down I stare at the ceiling for half an hour ,0
792635,2326346238,can't believe it has been one year already.. yet the pain I feel whenever i think about it is no less than what i felt before. ,0
390897,2054790496,Anyway NDP trng today was rather disappointing.Sianz  but maybe coz I wasnt feeling very social.Sigh.,0
95269,1791863541,I LOST MY PHONE  FML.,0
257631,1985011928,Can't go to twain with my secret booby! ,0
745640,2282500281,"@stevecairney Damn you figured it out, it was indeed from prolonged Megan Fox wanking sessions ",0
614051,2225712176,Ah I have seen the car I want but I can't afford it to september and I doubt it'll still be around.  I NEED a job!,0
454457,2070618145,@jellayz oh no! i'm sorry  she was a good dog~,0
167684,1961834859,Omg. I got no sleep again. Neighbors are building a deck &amp; they've been starting @ 5:00am. I'm SO tired. Feel like I just took Benadryl ,0
206763,1973319919,@UCYIMD1 I called u last nite... No answer ,0
158588,1956639055,"gone to bed. tg tomorrow is fri, up in 5 hrs ",0
536101,2198287150,yay yay!!! twitter is back! woo. i was worried cause xbox live is down too ,0
110824,1824955440,Es regnet! Es regnet! Looks like the BBQ is cancelled!  At least the UK didnt get 'nil points' at Eurovision!,0
262036,1986080780,@irajellybean Senor pictures while you're sick? That's horrible. I would switch dates with you but I'm not gonna be in school tomorrow. ,0
623266,2229497419,My mom is going to talk to my dad about selling burtha! ,0
428084,2063861827,"As if the rain isn't depressing enough, I'm doing my finances for the month  Tesco get too much of my money!",0
797424,2328159674,@iRala PLS Do a Brandy song! Boom! Come on I need some inspiration..in a funk!!! ,0
48633,1677922937,"@rickirose19 I called you twice, you had me worried. But you didn't call back or text ",0
381773,2052849141,this part gets me teary eyed... ,0
413714,2060651077,Walked through the living room while mom was watching Pushing Daisies. Saw Ned and got sad.  PD &lt;3,0
13808,1553422856,"arg, might go home early today... not feeling so hot ",0
679896,2249356619,only said that..because I can point click and drag.. back 15 years and read about myself ...  i dreamed allot back then too,0
465043,2175257339,Booorrreeedd down here ,0
86523,1754148461,"Happy Mother's Day.  Scott's off to Dallas, I'm off to NYC to start Hilarie's apartment move out.  No Komen Race for me today ",0
338861,2014523258,"@Postaltoots Ours already turned Chelle  Was gunna nap in the garden as well, Not been out in it much yet  WILL BE SUN FUN IN CHICH THO",0
28193,1559546919,just got home from the fashion show rehersal... listening to depressing music to aid in my depression ,0
322338,2004298067,@PoyntlasLove indeedio  LMAO! children infact! one which we still havent named yet ;) *cough*poneage*cough* x,0
216679,1975761032,"@jessickak haha k i will when i get home, i left my phone in my room...  woops.",0
295490,1996876763,"@DNyC3 aint nuttin, how u been yo? u dun love me no more ",0
51393,1678931898,@katjrobertson You'll have to re-upload your video. YouTube took it down because it was too long. ,0
446374,2068393272,@rosetho   I was beyond the point of exhaustion magg!,0
20484,1557079667,"Just woke up, good night last night. Head ache now though. Work later  not good.",0
523360,2193096326,Half my hairs deflated ,0
34776,1564934493,"@imsiouxz those puppy millers will keep trainers in biz for a long time  best of luck, patience &amp; cheese with your boy",0
263831,1986664073,Ouch! Poor Pedrosa. It's no fun crashing. I knoiw been there done that. Still on regular physio till now   .,0
793133,2326521895,We found a dead bunny in the backyard this morning   Rip little one .,0
776443,2322150192,@sbuffing chicago is almost as hot  at least you dont have humidity? Yay positivity Haha,0
560686,2205243383,@curnies That's duuuuumb. ,0
104560,1822573069,@ce54r I know  All my friends seem to be out of town this weekend. I guess every weekend can't be busy-filled..I'm sure that's good.,0
535416,2197976547,@calisummer I do miss @jonathanrknight! I think he's trying to prepare us for life after july ,0
602808,2221494034,Babysitting all day  so tired,0
460020,2072318887,OH NO! i missed my 700th tweet  i was going to dedicate it to cool ppls,0
359471,2045823680,Text me please ,0
753625,2286948383,@officialTila Sad you picked Torontonian girls over guys last night  Ha!,0
426648,2063578675,Concerned... landladies having very heavy convo downstairs. I hope they don't split up ,0
771363,2302341081,@GregLaswell LOVING Pete and J - shame I live in the UK ,0
528591,2195145379,1 exam down 3 to go  advanced functions tomorrow! eep,0
131670,1835582525,"argh once i got him chat with me, suddenly he's offline hiks ",0
472387,2176828687,I'm getting back into playing TF2 ,0
671070,2246752597,@rob_sheridan the rain followed u guys to Europe? Un-fucking- believeable!!! All nice and sunny here now. poor guys!!  maybe tomorrow=sun,0
254758,1984327199,@vivmondo I don't wanna rip the Charlster off too much. I'm already morphing into his writing style   Thanks about the non-tool thing!,0
324730,2006590733,@ capo n town on the 4th  gotta work. .   r u still goin to the A ths mnth,0
168990,1962388400,Almost ready for new Beta.... until we found a showstopping bug   Please standby.,0
457075,2071469536,is sad that our landlord wont let us have a dog ,0
